address,latitude,longitude
2203 REVERE AVE,37.738088094379,-122.401603186429
2129 PALOU AVE,37.739432820642,-122.400634296077
2111 PALOU AVE,37.739333830538,-122.400468420812
55 DORMAN AVE,37.739665195017,-122.402681428352
430 BARNEVELD AVE,37.740539265282,-122.404265105145
420 BARNEVELD AVE,37.740589953542,-122.404247153047
312 BARNEVELD AVE,37.741641460921,-122.403552050157
890 TOLAND ST,37.741707550764,-122.400971124143
2159 OAKDALE AVE,37.740484229683,-122.400832671606
1260 CONNECTICUT ST,37.750311498392,-122.396400111441
1298 CONNECTICUT ST,37.749800931176,-122.396351944785
698 25TH ST,37.753004860283,-122.385781518959
965 ILLINOIS ST,37.759709055618,-122.38741108619
953 ILLINOIS ST,37.759856495459,-122.38742567386
935 ILLINOIS ST,37.760077655221,-122.387447555364
925 ILLINOIS ST,37.760200521756,-122.387459711755
921 ILLINOIS ST,37.76024966837,-122.387464574311
905 ILLINOIS ST,37.760446254825,-122.387484024537
919 ILLINOIS ST,37.760274241677,-122.387467005589
671 ILLINOIS ST,37.763771934309,-122.387787105002
566 INDIANA ST,37.763300082556,-122.391774107297
600 INDIANA ST,37.7628084801,-122.391728414967
620 INDIANA ST,37.762570979077,-122.391704999403
704 INDIANA ST,37.761484971165,-122.391598307236
772 INDIANA ST,37.760708709806,-122.391524647494
890 INDIANA ST,37.758510011117,-122.39131477795
974 INDIANA ST,37.758423777905,-122.391306681829
750 IOWA ST,37.757177930274,-122.392076801835
909 23RD ST,37.755263173869,-122.389138221735
901 23RD ST,37.755266935275,-122.389069575987
343 GRANT AVE,37.790206827013,-122.405599934307
2425 IRVING ST,37.763205280442,-122.483848259589
27 DRUMM ST,37.793820858363,-122.39649699981
2045 IRVING ST,37.763386331844,-122.479752172761
830 SACRAMENTO ST,37.793354340498,-122.406809431299
214 CALIFORNIA ST,37.793390102034,-122.399012068788
50 GROVE ST,37.778864206881,-122.415413380755
2033 IRVING ST,37.763391097324,-122.479638754158
1941 IRVING ST,37.763438172744,-122.478639948205
1917 IRVING ST,37.763449618447,-122.478411987633
1933 IRVING ST,37.763441987979,-122.478563961348
1901 IRVING ST,37.763457248916,-122.478260013919
1135 MISSION ST,37.778549398339,-122.411675671555
1911 IRVING ST,37.763452479873,-122.478354997491
510 JACKSON ST,37.796451949561,-122.403657803515
250 MCALLISTER ST,37.780664948702,-122.416220891934
580 BUSH ST,37.790461897218,-122.406839975998
428 JACKSON ST,37.796602199146,-122.402507815689
460 BUSH ST,37.790681430505,-122.405143532201
248 JACKSON ST,37.796907456172,-122.400093804928
380 O'FARRELL ST,37.786100363673,-122.410991223948
210 JACKSON ST,37.796959555065,-122.399693869101
331 HAYES ST,37.77694887157,-122.421992018514
555 MISSION ST,37.788666472489,-122.398860503002
180 O'FARRELL ST,37.786550052395,-122.407391710798
327 HAYES ST,37.776986672486,-122.421691254547
325 HAYES ST,37.777005572943,-122.421540872564
225 MISSION ST,37.791612273524,-122.39512680327
716 PACIFIC AVE,37.796936693751,-122.406990776835
1255 TARAVAL ST,37.742826360176,-122.479484690421
614 PINE ST,37.791503188496,-122.4061708842
530 SUTTER ST,37.789160599792,-122.409545848683
935 MONTGOMERY ST,37.797512569278,-122.40379403509
950 MISSION ST,37.781574584365,-122.408046155749
115 OLIVE ST,37.784405728028,-122.419717178558
972 MISSION ST,37.781334187663,-122.408349468811
49 OLIVE ST,37.784550544937,-122.418603069225
131 MASON ST,37.784423759023,-122.409398632484
1030 MISSION ST,37.780457519534,-122.409461654435
111 MASON ST,37.78476222468,-122.40946764
41 MASON ST,37.783778082426,-122.409257874909
975 VAN NESS AVE,37.784545160446,-122.42130040191
39 MASON ST,37.783752647018,-122.409252279122
1188 MISSION ST,37.777672981516,-122.412989008872
675 GOLDEN GATE AVE,37.780819196603,-122.421660634622
80 TURK ST,37.783309558019,-122.410447935296
1190 MISSION ST,37.777646401832,-122.413022811301
1400 MISSION ST,37.775272104023,-122.416010298037
166 LOMBARD ST,37.803953348182,-122.404437523923
602 TENNESSEE ST,37.764171031898,-122.38991733422
150 LOMBARD ST,37.803982845359,-122.404193501687
670 TENNESSEE ST,37.763369786953,-122.389840619377
632 TENNESSEE ST,37.763817541481,-122.389883489436
802 TENNESSEE ST,37.761623729879,-122.389674072712
804 TENNESSEE ST,37.761599979777,-122.389671731155
870 TENNESSEE ST,37.760816226395,-122.389594459792
820 HOWARD ST,37.782576708539,-122.403674370303
644 TENNESSEE ST,37.763676145315,-122.389869951523
560 NORTH POINT ST,37.806277407008,-122.416433963323
902 TENNESSEE ST,37.760345186234,-122.389548566049
850 HOWARD ST,37.782193775317,-122.404158211661
669 MINNESOTA ST,37.76207015631,-122.390541307823
635 MINNESOTA ST,37.762470787303,-122.390581086737
2485 MASON ST,37.806373083543,-122.413825607621
625 MINNESOTA ST,37.762588619948,-122.390592786418
555 MINNESOTA ST,37.76350781766,-122.390679567086
1915 MARKET ST,37.770413001217,-122.425070812803
525 MINNESOTA ST,37.763864054636,-122.390712180287
551 MINNESOTA ST,37.763555315924,-122.390683915513
1340 HOWARD ST,37.774473092325,-122.413930071726
2779 JONES ST,37.806837470853,-122.41728959897
1636 GALVEZ AVE,37.741418809929,-122.388902430302
3187 16TH ST,37.76474596221,-122.423774315194
1632 HUDSON AVE,37.740660708649,-122.389227555019
1610 INNES AVE,37.739741674249,-122.389282220191
2989 16TH ST,37.765009749247,-122.419373857219
4910 03RD ST,,
